# This data file was created on Tue Mar  7 14:10:01 2017
# capacitor 2-19, sample GBA120, nitrogen cool down... Frequencies: 100Hz, 1000Hz, 10000Hz
Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage, Frequency [Hz], Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage, Frequency [Hz], Time [s], Temperature A [K], Temperature B [K], Capacitance [pF], Loss tangent, Voltage, Frequency [Hz]
1488911693.543257, 318.40600000000001, 306.01799999999997, 1.7602500000000001, 8.1000000000000004e-05, 1.5, 100, 1488911645.6769791, 319.17000000000002, 306.45699999999999, 1.7600610000000001, 9.7999999999999997e-05, 15.0, 1000, 1488911633.1084039, 319.37599999999998, 306.57100000000003, 1.759803, 0.00013300000000000001, 15.0, 10000
1488911764.513896, 317.31799999999998, 305.38600000000002, 1.760275, 8.0000000000000007e-05, 1.5, 100, 1488911716.6706951, 318.04500000000002, 305.80000000000001, 1.7600739999999999, 9.8800000000000003e-05, 15.0, 1000, 1488911704.1128719, 318.24000000000001, 305.91399999999999, 1.7598009999999999, 0.000135, 15.0, 10000
1488911835.4919, 316.28100000000001, 304.76999999999998, 1.7602850000000001, 7.6000000000000004e-05, 1.5, 100, 1488911787.645462, 316.97500000000002, 305.15300000000002, 1.760086, 0.00010340000000000001, 15.0, 1000, 1488911775.0706279, 317.161, 305.279, 1.759806, 0.00014090000000000001, 15.0, 10000
1488911906.4802389, 315.29500000000002, 304.23099999999999, 1.7602930000000001, 9.0000000000000006e-05, 1.5, 100, 1488911858.621829, 315.95400000000001, 304.59300000000002, 1.7600990000000001, 0.00010450000000000001, 15.0, 1000, 1488911846.062412, 316.13099999999997, 304.69299999999998, 1.759811, 0.00013860000000000001, 15.0, 10000
1488911977.439887, 314.36099999999999, 303.77300000000002, 1.7603040000000001, 9.3999999999999994e-05, 1.5, 100, 1488911929.5937541, 314.98500000000001, 304.08999999999997, 1.7600990000000001, 0.000106, 15.0, 1000, 1488911917.03355, 315.15199999999999, 304.16500000000002, 1.759816, 0.0001448, 15.0, 10000
1488912048.3935609, 313.48000000000002, 303.42899999999997, 1.7603139999999999, 9.3999999999999994e-05, 1.5, 100, 1488912000.57129, 314.06799999999998, 303.64400000000001, 1.7601100000000001, 0.00010849999999999999, 15.0, 1000, 1488911987.991946, 314.22699999999998, 303.709, 1.7598210000000001, 0.000147, 15.0, 10000
1488912119.367821, 312.65300000000002, 303.08100000000002, 1.760327, 9.7e-05, 1.5, 100, 1488912071.5270531, 313.20499999999998, 303.34199999999998, 1.760116, 0.00011, 15.0, 1000, 1488912058.9597349, 313.35300000000001, 303.39100000000002, 1.7598240000000001, 0.000146, 15.0, 10000
1488912190.3186171, 311.87200000000001, 302.66899999999998, 1.7603249999999999, 8.5000000000000006e-05, 1.5, 100, 1488912142.4956529, 312.39299999999997, 302.97300000000001, 1.7601279999999999, 0.000112, 15.0, 1000, 1488912129.9175, 312.53399999999999, 303.029, 1.7598281, 0.00015090000000000001, 15.0, 10000
1488912261.3114791, 311.12200000000001, 302.08499999999998, 1.7603519999999999, 0.000103, 1.5, 100, 1488912213.46522, 311.625, 302.48399999999998, 1.7601340000000001, 0.0001136, 15.0, 1000, 1488912200.8890309, 311.75900000000001, 302.58300000000003, 1.759827, 0.000145, 15.0, 10000
1488912332.262404, 310.39699999999999, 301.589, 1.7603800000000001, 0.00010170000000000001, 1.5, 100, 1488912284.4224939, 310.88299999999998, 301.911, 1.7601416999999999, 0.0001172, 15.0, 1000, 1488912271.8638811, 311.01299999999998, 302.00700000000001, 1.7598349, 0.0001495, 15.0, 10000
1488912403.1909411, 309.69999999999999, 301.084, 1.7603740000000001, 0.00010170000000000001, 1.5, 100, 1488912355.348527, 310.16800000000001, 301.44, 1.7601469999999999, 0.0001187, 15.0, 1000, 1488912342.774061, 310.29199999999997, 301.52199999999999, 1.7598400000000001, 0.0001505, 15.0, 10000
